estado_de_suscripcion,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,fecha_publicacion,nombre_video
Total,1810,78.4546,0:02:36,20211130,😲 DOMINA la GEOMETRÍA para DISEÑAR LOGOS en CorelDRAW ► TUTORIAL
Suscrito,1152,51.5714,0:02:41,20211130,😲 DOMINA la GEOMETRÍA para DISEÑAR LOGOS en CorelDRAW ► TUTORIAL
No suscrito,658,26.8832,0:02:27,20211130,😲 DOMINA la GEOMETRÍA para DISEÑAR LOGOS en CorelDRAW ► TUTORIAL
Total,3044,411.7951,0:08:07,20220426,✨✔ APLICA estas TÉCNICAS AVANZADAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Suscrito,1674,215.6437,0:07:43,20220426,✨✔ APLICA estas TÉCNICAS AVANZADAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
No suscrito,1370,196.1514,0:08:35,20220426,✨✔ APLICA estas TÉCNICAS AVANZADAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,1005,7.1678,0:00:25,20220226,🏃🏼_♂️🚴🏼_♂️Construye ASÍ DISEÑO de LOGOS
No suscrito,685,4.7954,0:00:25,20220226,🏃🏼_♂️🚴🏼_♂️Construye ASÍ DISEÑO de LOGOS
Suscrito,320,2.3724,0:00:26,20220226,🏃🏼_♂️🚴🏼_♂️Construye ASÍ DISEÑO de LOGOS
Total,999,28.405,0:01:42,20210415,🔴 Tutorial PERSPECTIVA de 3 puntos de fuga (vista de GUSANO 🐛) ▷ CorelDRAW 2021 de DelcaVideography
No suscrito,600,16.3473,0:01:38,20210415,🔴 Tutorial PERSPECTIVA de 3 puntos de fuga (vista de GUSANO 🐛) ▷ CorelDRAW 2021 de DelcaVideography
Suscrito,399,12.0577,0:01:48,20210415,🔴 Tutorial PERSPECTIVA de 3 puntos de fuga (vista de GUSANO 🐛) ▷ CorelDRAW 2021 de DelcaVideography
Total,1219,33.6398,0:01:39,20210831,💡 CorelDRAW KEY 🔑 TIPS for Pro & Beginners _ Lightbulb ICON ▶
Suscrito,942,26.2238,0:01:40,20210831,💡 CorelDRAW KEY 🔑 TIPS for Pro & Beginners _ Lightbulb ICON ▶
No suscrito,277,7.416,0:01:36,20210831,💡 CorelDRAW KEY 🔑 TIPS for Pro & Beginners _ Lightbulb ICON ▶
Total,3039,172.5609,0:03:24,20220315,🔥 USA LETRAS para CREAR LOGOS si SIGUES estos PASOS ▶ TUTORIAL
Suscrito,1923,118.1508,0:03:41,20220315,🔥 USA LETRAS para CREAR LOGOS si SIGUES estos PASOS ▶ TUTORIAL
No suscrito,1116,54.4101,0:02:55,20220315,🔥 USA LETRAS para CREAR LOGOS si SIGUES estos PASOS ▶ TUTORIAL
Total,2163,180.0385,0:04:59,20220705,⭐ APRENDE a DIBUJAR así ✍🏼SÓLO SI HACES ESTO ▶ TUTORIAL CorelDRAW
Suscrito,1438,125.1424,0:05:13,20220705,⭐ APRENDE a DIBUJAR así ✍🏼SÓLO SI HACES ESTO ▶ TUTORIAL CorelDRAW
No suscrito,725,54.8961,0:04:32,20220705,⭐ APRENDE a DIBUJAR así ✍🏼SÓLO SI HACES ESTO ▶ TUTORIAL CorelDRAW
Total,1157,34.113,0:01:46,20210802,🌟 CorelDRAW FAST Techniques for Beginners ▶ 3 MIN⏰ TUTORIAL OLYMPIC GAMES Logo
Suscrito,607,19.147,0:01:53,20210802,🌟 CorelDRAW FAST Techniques for Beginners ▶ 3 MIN⏰ TUTORIAL OLYMPIC GAMES Logo
No suscrito,550,14.966,0:01:37,20210802,🌟 CorelDRAW FAST Techniques for Beginners ▶ 3 MIN⏰ TUTORIAL OLYMPIC GAMES Logo
Total,3297,151.6939,0:02:45,20210427,⚡ La MEJOR FORMA de ORGANIZAR tus PÁGINAS 🔥 en CorelDRAW 👉🏼 Tutorial (2021) 😮 de DelcaVideography
No suscrito,2208,103.869,0:02:49,20210427,⚡ La MEJOR FORMA de ORGANIZAR tus PÁGINAS 🔥 en CorelDRAW 👉🏼 Tutorial (2021) 😮 de DelcaVideography
Suscrito,1089,47.8249,0:02:38,20210427,⚡ La MEJOR FORMA de ORGANIZAR tus PÁGINAS 🔥 en CorelDRAW 👉🏼 Tutorial (2021) 😮 de DelcaVideography
Total,1589,120.7222,0:04:33,20220621,⚡ SIMPLIFICA ASÍ tus DISEÑOS 🤔 ▶ TUTORIAL CorelDRAW
Suscrito,905,76.6722,0:05:04,20220621,⚡ SIMPLIFICA ASÍ tus DISEÑOS 🤔 ▶ TUTORIAL CorelDRAW
No suscrito,684,44.0499,0:03:51,20220621,⚡ SIMPLIFICA ASÍ tus DISEÑOS 🤔 ▶ TUTORIAL CorelDRAW
Total,1504,19.6885,0:00:47,20210513,👉 Cuánto ESPACIO OCUPA Corel DRAW ▶
No suscrito,802,10.7615,0:00:48,20210513,👉 Cuánto ESPACIO OCUPA Corel DRAW ▶
Suscrito,702,8.9271,0:00:45,20210513,👉 Cuánto ESPACIO OCUPA Corel DRAW ▶
Total,1230,72.6054,0:03:32,20210610,👉🏼 7 Programas GRATUITOS para EDITAR VÍDEOS 💥 que DEDEBS CONOCER🔥
Suscrito,831,51.0455,0:03:41,20210610,👉🏼 7 Programas GRATUITOS para EDITAR VÍDEOS 💥 que DEDEBS CONOCER🔥
No suscrito,399,21.5599,0:03:14,20210610,👉🏼 7 Programas GRATUITOS para EDITAR VÍDEOS 💥 que DEDEBS CONOCER🔥
Total,1645,83.985,0:03:03,20210824,📌 Learn the CorelDRAW BEST Techniques for LOGO Design
Suscrito,961,54.3797,0:03:23,20210824,📌 Learn the CorelDRAW BEST Techniques for LOGO Design
No suscrito,684,29.6054,0:02:35,20210824,📌 Learn the CorelDRAW BEST Techniques for LOGO Design
Total,986,7.2706,0:00:26,20210804,🤯 Técnicas para DISEÑAR LOGOS increíbles en CorelDRAW
Suscrito,531,4.3391,0:00:29,20210804,🤯 Técnicas para DISEÑAR LOGOS increíbles en CorelDRAW
No suscrito,455,2.9314,0:00:23,20210804,🤯 Técnicas para DISEÑAR LOGOS increíbles en CorelDRAW
Total,2251,177.1279,0:04:43,20211014,🎇 COMBINA estas TÉCNICAS para _CREAR LOGOS INCREÍBLES_ en CorelDRAW
Suscrito,1625,130.7984,0:04:49,20211014,🎇 COMBINA estas TÉCNICAS para _CREAR LOGOS INCREÍBLES_ en CorelDRAW
No suscrito,626,46.3296,0:04:26,20211014,🎇 COMBINA estas TÉCNICAS para _CREAR LOGOS INCREÍBLES_ en CorelDRAW
Total,625,6.3257,0:00:36,20210722,CÓMO VECTORIZAR PAISAJES_ Tutorial práctico
Suscrito,319,3.6194,0:00:40,20210722,CÓMO VECTORIZAR PAISAJES_ Tutorial práctico
No suscrito,306,2.7064,0:00:31,20210722,CÓMO VECTORIZAR PAISAJES_ Tutorial práctico
Total,1392,59.9538,0:02:35,20211028,🐱_👤Con estos MÉTODOS PRÁCTICOS 🧐 puedes DISEÑAR LOGOS Fácilmente en CorelDRAW
Suscrito,1103,46.2136,0:02:30,20211028,🐱_👤Con estos MÉTODOS PRÁCTICOS 🧐 puedes DISEÑAR LOGOS Fácilmente en CorelDRAW
No suscrito,289,13.7402,0:02:51,20211028,🐱_👤Con estos MÉTODOS PRÁCTICOS 🧐 puedes DISEÑAR LOGOS Fácilmente en CorelDRAW
Total,1032,88.8506,0:05:09,20220726,⭐ 7 HERRAMIENTAS que DEBES CONOCER para DISEÑAR en CorelDRAW TUTORIAL DelcaVideography de DelcaVideography
Suscrito,813,64.7713,0:04:46,20220726,⭐ 7 HERRAMIENTAS que DEBES CONOCER para DISEÑAR en CorelDRAW TUTORIAL DelcaVideography de DelcaVideography
No suscrito,219,24.0793,0:06:35,20220726,⭐ 7 HERRAMIENTAS que DEBES CONOCER para DISEÑAR en CorelDRAW TUTORIAL DelcaVideography de DelcaVideography
Total,2390,170.4774,0:04:16,20211102,🎱🥌 La MEJOR FORMA de APLICAR TEXTURAS 3D ⚙ a LOGOS en CorelDRAW
Suscrito,1519,113.4804,0:04:28,20211102,🎱🥌 La MEJOR FORMA de APLICAR TEXTURAS 3D ⚙ a LOGOS en CorelDRAW
No suscrito,871,56.997,0:03:55,20211102,🎱🥌 La MEJOR FORMA de APLICAR TEXTURAS 3D ⚙ a LOGOS en CorelDRAW
Total,4825,186.7283,0:02:19,20210325,🌟 DESCUBRE cómo REEMPLAZAR COLORES de IMÁGENES (FÁCIL) en CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
No suscrito,3374,128.5336,0:02:17,20210325,🌟 DESCUBRE cómo REEMPLAZAR COLORES de IMÁGENES (FÁCIL) en CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Suscrito,1451,58.1946,0:02:24,20210325,🌟 DESCUBRE cómo REEMPLAZAR COLORES de IMÁGENES (FÁCIL) en CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Total,1167,52.0842,0:02:40,20210817,🔥 CorelDRAW Tips & Tricks for Beginners & Experts ▶ LOGO TUTORIAL
Suscrito,876,36.6402,0:02:30,20210817,🔥 CorelDRAW Tips & Tricks for Beginners & Experts ▶ LOGO TUTORIAL
No suscrito,291,15.444,0:03:11,20210817,🔥 CorelDRAW Tips & Tricks for Beginners & Experts ▶ LOGO TUTORIAL
Total,1161,57.3995,0:02:57,20210721,💚 CorelDRAW EASIEST Techniques for Beginners & Experts (💗+🎀) ▶ LOGO Tutorial
Suscrito,754,39.8773,0:03:10,20210721,💚 CorelDRAW EASIEST Techniques for Beginners & Experts (💗+🎀) ▶ LOGO Tutorial
No suscrito,407,17.5222,0:02:34,20210721,💚 CorelDRAW EASIEST Techniques for Beginners & Experts (💗+🎀) ▶ LOGO Tutorial
Total,476,4.5199,0:00:34,20210922,😃 Te ENSEÑO cómo es el PROCESO de DISEÑO
Suscrito,396,3.6935,0:00:33,20210922,😃 Te ENSEÑO cómo es el PROCESO de DISEÑO
No suscrito,80,0.8263,0:00:37,20210922,😃 Te ENSEÑO cómo es el PROCESO de DISEÑO
Total,1606,82.2658,0:03:04,20210810,🔥 CorelDRAW ADVANCE Techniques for Beginners & Experts _ LOGO TUTORIAL ▶
Suscrito,984,52.5474,0:03:12,20210810,🔥 CorelDRAW ADVANCE Techniques for Beginners & Experts _ LOGO TUTORIAL ▶
No suscrito,622,29.7184,0:02:52,20210810,🔥 CorelDRAW ADVANCE Techniques for Beginners & Experts _ LOGO TUTORIAL ▶
Total,3571,240.4057,0:04:02,20220120,🧐 PRESTA mucha ATENCIÓN a estos DETALLES para DISEÑAR LOGOS en CorelDRAW 😱
Suscrito,2327,150.6557,0:03:53,20220120,🧐 PRESTA mucha ATENCIÓN a estos DETALLES para DISEÑAR LOGOS en CorelDRAW 😱
No suscrito,1244,89.75,0:04:19,20220120,🧐 PRESTA mucha ATENCIÓN a estos DETALLES para DISEÑAR LOGOS en CorelDRAW 😱
Total,292,2.0601,0:00:25,20210730,🤯 Nueva SERIE en DelcaVideography ▶ LOGOS EXPRESS ›› Parte 1 ‹‹ SHORTS
Suscrito,234,1.6371,0:00:25,20210730,🤯 Nueva SERIE en DelcaVideography ▶ LOGOS EXPRESS ›› Parte 1 ‹‹ SHORTS
No suscrito,58,0.423,0:00:26,20210730,🤯 Nueva SERIE en DelcaVideography ▶ LOGOS EXPRESS ›› Parte 1 ‹‹ SHORTS
Total,1620,49.9267,0:01:50,20210318,🌟 DESCUBRE el Nuevo MULTIPÁGINA de CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Suscrito,908,28.0952,0:01:51,20210318,🌟 DESCUBRE el Nuevo MULTIPÁGINA de CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
No suscrito,712,21.8315,0:01:50,20210318,🌟 DESCUBRE el Nuevo MULTIPÁGINA de CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Total,9866,271.8139,0:01:39,20210510,👉 Estos son los REQUISITOS para INSTALAR Corel DRAW ▶
No suscrito,8699,237.6628,0:01:38,20210510,👉 Estos son los REQUISITOS para INSTALAR Corel DRAW ▶
Suscrito,1167,34.1511,0:01:45,20210510,👉 Estos son los REQUISITOS para INSTALAR Corel DRAW ▶
Total,5283,225.6908,0:02:33,20220427,Estas son las ÚLTIMAS NOVEDADES de COREL DRAW 2022
No suscrito,3767,146.327,0:02:19,20220427,Estas son las ÚLTIMAS NOVEDADES de COREL DRAW 2022
Suscrito,1516,79.3638,0:03:08,20220427,Estas son las ÚLTIMAS NOVEDADES de COREL DRAW 2022
Total,2425,252.7545,0:06:15,20210907,⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL
Suscrito,1590,166.395,0:06:16,20210907,⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL
No suscrito,835,86.3594,0:06:12,20210907,⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL
Total,1113,41.1099,0:02:12,20210425,🔴 Cómo funciona la PERSPECTIVA de 1 punto de fuga ▷ Tutorial CorelDRAW 2021 de DelcaVideography
No suscrito,606,22.0095,0:02:10,20210425,🔴 Cómo funciona la PERSPECTIVA de 1 punto de fuga ▷ Tutorial CorelDRAW 2021 de DelcaVideography
Suscrito,507,19.1004,0:02:15,20210425,🔴 Cómo funciona la PERSPECTIVA de 1 punto de fuga ▷ Tutorial CorelDRAW 2021 de DelcaVideography
Total,23887,1537.5073,0:03:51,20210315,🌟 Lo NUEVO de CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
No suscrito,19721,1183.5266,0:03:36,20210315,🌟 Lo NUEVO de CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Suscrito,4166,353.9807,0:05:05,20210315,🌟 Lo NUEVO de CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Total,2099,59.92,0:01:42,20220222,😎 Así FUNCIONAN los PAQUETES de EFECTOS de MOVAVI ▶
No suscrito,1581,48.3215,0:01:50,20220222,😎 Así FUNCIONAN los PAQUETES de EFECTOS de MOVAVI ▶
Suscrito,518,11.5986,0:01:20,20220222,😎 Así FUNCIONAN los PAQUETES de EFECTOS de MOVAVI ▶
Total,1511,78.0586,0:03:05,20210713,🔥 CorelDRAW BASIC Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Suscrito,1165,60.47,0:03:06,20210713,🔥 CorelDRAW BASIC Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
No suscrito,346,17.5886,0:03:03,20210713,🔥 CorelDRAW BASIC Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Total,1525,60.954,0:02:23,20210727,🔥 LOGO TUTORIAL ▶ CorelDRAW MUST KNOWN Techniques for Beginners & Experts
Suscrito,1083,45.1609,0:02:30,20210727,🔥 LOGO TUTORIAL ▶ CorelDRAW MUST KNOWN Techniques for Beginners & Experts
No suscrito,442,15.7931,0:02:08,20210727,🔥 LOGO TUTORIAL ▶ CorelDRAW MUST KNOWN Techniques for Beginners & Experts
Total,4248,391.6548,0:05:31,20211012,💪🏼 DOMINA esta TÉCNICA para diseñar LOGOS como este en CorelDRAW 🍺
Suscrito,2303,220.5132,0:05:44,20211012,💪🏼 DOMINA esta TÉCNICA para diseñar LOGOS como este en CorelDRAW 🍺
No suscrito,1945,171.1416,0:05:16,20211012,💪🏼 DOMINA esta TÉCNICA para diseñar LOGOS como este en CorelDRAW 🍺
Total,13756,424.2588,0:01:51,20211202,✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL
No suscrito,11438,297.8282,0:01:33,20211202,✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL
Suscrito,2318,126.4306,0:03:16,20211202,✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL
Total,1377,47.2637,0:02:03,20220208,⚡ Cómo CREAR 7 EFECTOS GLITCH PRO con MOVAVI Video Editor Plus 2022 ▶ TUTORIAL
Suscrito,707,21.9064,0:01:51,20220208,⚡ Cómo CREAR 7 EFECTOS GLITCH PRO con MOVAVI Video Editor Plus 2022 ▶ TUTORIAL
No suscrito,670,25.3573,0:02:16,20220208,⚡ Cómo CREAR 7 EFECTOS GLITCH PRO con MOVAVI Video Editor Plus 2022 ▶ TUTORIAL
Total,1824,10.7921,0:00:21,20220325,🤔 USA esta forma para CREAR DISEÑOS
No suscrito,1262,7.2349,0:00:20,20220325,🤔 USA esta forma para CREAR DISEÑOS
Suscrito,562,3.5572,0:00:22,20220325,🤔 USA esta forma para CREAR DISEÑOS
Total,637,6.0713,0:00:34,20210724,💚🏃_♀️ CorelDRAW ▶ SPEEDRUN MONSTER Short
Suscrito,335,3.2601,0:00:35,20210724,💚🏃_♀️ CorelDRAW ▶ SPEEDRUN MONSTER Short
No suscrito,302,2.8112,0:00:33,20210724,💚🏃_♀️ CorelDRAW ▶ SPEEDRUN MONSTER Short
Total,1320,126.9103,0:05:46,20220628,⚡ El TUTORIAL que te CONVERTIRÁ en PRO  ▶ Debes VERLO 👉🏼 CorelDRAW
Suscrito,857,87.5683,0:06:07,20220628,⚡ El TUTORIAL que te CONVERTIRÁ en PRO  ▶ Debes VERLO 👉🏼 CorelDRAW
No suscrito,463,39.3421,0:05:05,20220628,⚡ El TUTORIAL que te CONVERTIRÁ en PRO  ▶ Debes VERLO 👉🏼 CorelDRAW
Total,5159,248.5148,0:02:53,20220127,✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL
No suscrito,3061,117.8015,0:02:18,20220127,✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL
Suscrito,2098,130.7133,0:03:44,20220127,✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL
Total,1760,116.1147,0:03:57,20220504,✨✔ Te ENSEÑO estas TÉCNICAS para que DISEÑES como un PRO ▶ TUTORIAL CorelDRAW
Suscrito,1417,90.342,0:03:49,20220504,✨✔ Te ENSEÑO estas TÉCNICAS para que DISEÑES como un PRO ▶ TUTORIAL CorelDRAW
No suscrito,343,25.7727,0:04:30,20220504,✨✔ Te ENSEÑO estas TÉCNICAS para que DISEÑES como un PRO ▶ TUTORIAL CorelDRAW
Total,1435,98.2487,0:04:06,20220607,🛠 Con estas 7 TÉCNICAS vas a DISEÑAR como un PROFESIONAL 😎 en CorelDRAW TUTORIAL DelcaVideography de DelcaVideography
Suscrito,1131,74.1881,0:03:56,20220607,🛠 Con estas 7 TÉCNICAS vas a DISEÑAR como un PROFESIONAL 😎 en CorelDRAW TUTORIAL DelcaVideography de DelcaVideography
No suscrito,304,24.0606,0:04:44,20220607,🛠 Con estas 7 TÉCNICAS vas a DISEÑAR como un PROFESIONAL 😎 en CorelDRAW TUTORIAL DelcaVideography de DelcaVideography
Total,1314,85.342,0:03:53,20211216,🤘🏼 Así PODRÁS crear INTROS ANIMADAS para tu TRABAJO y REDES SOCIALES en MINUTOS
Suscrito,1037,68.7631,0:03:58,20211216,🤘🏼 Así PODRÁS crear INTROS ANIMADAS para tu TRABAJO y REDES SOCIALES en MINUTOS
No suscrito,277,16.5789,0:03:35,20211216,🤘🏼 Así PODRÁS crear INTROS ANIMADAS para tu TRABAJO y REDES SOCIALES en MINUTOS
Total,151522,5615.8666,0:02:13,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
No suscrito,145240,5068.1488,0:02:05,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
Suscrito,6282,547.7178,0:05:13,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
Total,1962,23.559,0:00:43,20210518,💙 Curso VEGAS PRO en YOUTUBE 2021 (Entrenamiento Online) ▶
Suscrito,1123,14.6214,0:00:46,20210518,💙 Curso VEGAS PRO en YOUTUBE 2021 (Entrenamiento Online) ▶
No suscrito,839,8.9377,0:00:38,20210518,💙 Curso VEGAS PRO en YOUTUBE 2021 (Entrenamiento Online) ▶
Total,1380,11.3996,0:00:29,20210921,😜 Te enseño el BORRADOR de un archivo de CorelDRAW
Suscrito,850,6.7684,0:00:28,20210921,😜 Te enseño el BORRADOR de un archivo de CorelDRAW
No suscrito,530,4.6311,0:00:31,20210921,😜 Te enseño el BORRADOR de un archivo de CorelDRAW
Total,428,8.2558,0:01:09,20220512,😎 ¡AL FIN! ▶ UNBOXING PLACA de 100K 💪🏼 de YouTube 💖 DelcaVideography de DelcaVideography
Suscrito,364,6.76,0:01:06,20220512,😎 ¡AL FIN! ▶ UNBOXING PLACA de 100K 💪🏼 de YouTube 💖 DelcaVideography de DelcaVideography
No suscrito,64,1.4958,0:01:24,20220512,😎 ¡AL FIN! ▶ UNBOXING PLACA de 100K 💪🏼 de YouTube 💖 DelcaVideography de DelcaVideography
Total,1750,153.9714,0:05:16,20220719,⭐ 7 TÉCNICAS y CONSEJOS para DISEÑAR en CorelDRAW ▶ TUTORIAL
Suscrito,1182,103.0177,0:05:13,20220719,⭐ 7 TÉCNICAS y CONSEJOS para DISEÑAR en CorelDRAW ▶ TUTORIAL
No suscrito,568,50.9538,0:05:22,20220719,⭐ 7 TÉCNICAS y CONSEJOS para DISEÑAR en CorelDRAW ▶ TUTORIAL
Total,2188,159.1404,0:04:21,20220303,🧐 Sigue ESTE ORDEN en tus PROYECTOS ⭐ para CREAR LOGOS ASÍ en CorelDRAW
Suscrito,1725,119.7309,0:04:09,20220303,🧐 Sigue ESTE ORDEN en tus PROYECTOS ⭐ para CREAR LOGOS ASÍ en CorelDRAW
No suscrito,463,39.4095,0:05:06,20220303,🧐 Sigue ESTE ORDEN en tus PROYECTOS ⭐ para CREAR LOGOS ASÍ en CorelDRAW
Total,2183,206.4005,0:05:40,20210923,🌟 AMAZING PERSPECTIVE Tips ▶ CREATE 3D TEXT in CorelDRAW
Suscrito,1434,132.4252,0:05:32,20210923,🌟 AMAZING PERSPECTIVE Tips ▶ CREATE 3D TEXT in CorelDRAW
No suscrito,749,73.9752,0:05:55,20210923,🌟 AMAZING PERSPECTIVE Tips ▶ CREATE 3D TEXT in CorelDRAW
Total,2458,160.598,0:03:55,20220331,✨✔ DISEÑA como un PROFESIONAL si SIGUES estos PASOS en CorelDRAW
Suscrito,1802,114.6111,0:03:48,20220331,✨✔ DISEÑA como un PROFESIONAL si SIGUES estos PASOS en CorelDRAW
No suscrito,656,45.9868,0:04:12,20220331,✨✔ DISEÑA como un PROFESIONAL si SIGUES estos PASOS en CorelDRAW
Total,2821,160.71,0:03:25,20211104,🧐 DOMINA las MEJORES TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Suscrito,1661,100.897,0:03:38,20211104,🧐 DOMINA las MEJORES TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
No suscrito,1160,59.813,0:03:05,20211104,🧐 DOMINA las MEJORES TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,637,2.7719,0:00:15,20210729,Wow! De un simple círculo a ESTO!!! LOGO TUTOTIAL
Suscrito,327,1.5734,0:00:17,20210729,Wow! De un simple círculo a ESTO!!! LOGO TUTOTIAL
No suscrito,310,1.1985,0:00:13,20210729,Wow! De un simple círculo a ESTO!!! LOGO TUTOTIAL
Total,4034,357.6949,0:05:19,20211214,🤫 Pon en PRÁCTICA el SECRETO para DISEÑAR este LOGO en CorelDRAW ▶▶ TUTORIAL
Suscrito,2125,196.1277,0:05:32,20211214,🤫 Pon en PRÁCTICA el SECRETO para DISEÑAR este LOGO en CorelDRAW ▶▶ TUTORIAL
No suscrito,1909,161.5672,0:05:04,20211214,🤫 Pon en PRÁCTICA el SECRETO para DISEÑAR este LOGO en CorelDRAW ▶▶ TUTORIAL
Total,3011,59.3655,0:01:10,20210506,👉 Cuánto CUESTA 💲 CorelDRAW ▶ 
No suscrito,1774,35.6873,0:01:12,20210506,👉 Cuánto CUESTA 💲 CorelDRAW ▶ 
Suscrito,1237,23.6782,0:01:08,20210506,👉 Cuánto CUESTA 💲 CorelDRAW ▶ 
Total,3034,200.6775,0:03:58,20211019,Si USAS esta TÉCNICA 🧐 puedes CREAR muchos LOGOS ▶ CorelDRAW
Suscrito,1888,125.0986,0:03:58,20211019,Si USAS esta TÉCNICA 🧐 puedes CREAR muchos LOGOS ▶ CorelDRAW
No suscrito,1146,75.5789,0:03:57,20211019,Si USAS esta TÉCNICA 🧐 puedes CREAR muchos LOGOS ▶ CorelDRAW
Total,4130,523.1473,0:07:36,20210928,🤜🏼 La MASTERCLASS que BUSCABAS 👉🏼  Técnicas AVANZADAS para DISEÑADORES CorelDRAW
No suscrito,2130,264.4067,0:07:26,20210928,🤜🏼 La MASTERCLASS que BUSCABAS 👉🏼  Técnicas AVANZADAS para DISEÑADORES CorelDRAW
Suscrito,2000,258.7406,0:07:45,20210928,🤜🏼 La MASTERCLASS que BUSCABAS 👉🏼  Técnicas AVANZADAS para DISEÑADORES CorelDRAW
Total,11619,740.5416,0:03:49,20220203,✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL
No suscrito,8425,427.0277,0:03:02,20220203,✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL
Suscrito,3194,313.5139,0:05:53,20220203,✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL
Total,1867,84.2964,0:02:42,20210805,🔴 CorelDRAW MUST KNOWN Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Suscrito,1408,64.5146,0:02:44,20210805,🔴 CorelDRAW MUST KNOWN Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
No suscrito,459,19.7818,0:02:35,20210805,🔴 CorelDRAW MUST KNOWN Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Total,1811,142.3578,0:04:42,20210916,✒️APRENDE a ILUSTRAR ASÍ en CorelDRAW ✍️ TRUCOS & CONSEJOS CLAVE
Suscrito,1402,108.2501,0:04:37,20210916,✒️APRENDE a ILUSTRAR ASÍ en CorelDRAW ✍️ TRUCOS & CONSEJOS CLAVE
No suscrito,409,34.1077,0:05:00,20210916,✒️APRENDE a ILUSTRAR ASÍ en CorelDRAW ✍️ TRUCOS & CONSEJOS CLAVE
Total,1018,35.7847,0:02:06,20210819,Tips BÁSICOS para CREAR LOGOS EFICIENTES ▶ TUTORIAL CorelDRAW
Suscrito,773,27.189,0:02:06,20210819,Tips BÁSICOS para CREAR LOGOS EFICIENTES ▶ TUTORIAL CorelDRAW
No suscrito,245,8.5957,0:02:06,20210819,Tips BÁSICOS para CREAR LOGOS EFICIENTES ▶ TUTORIAL CorelDRAW
Total,951,21.9096,0:01:22,20210418,TIMELAPSE LOGO DESIGN TUTORIAL DelcaVideography de DelcaVideography
Suscrito,599,15.0154,0:01:30,20210418,TIMELAPSE LOGO DESIGN TUTORIAL DelcaVideography de DelcaVideography
No suscrito,352,6.8943,0:01:10,20210418,TIMELAPSE LOGO DESIGN TUTORIAL DelcaVideography de DelcaVideography
Total,1282,113.4128,0:05:18,20220614,✍🏼 Si APRENDES esta TÉCNICA puedes CREAR LOGOS como un PRO ▶ TUTORIAL CorelDRAW
Suscrito,836,74.3074,0:05:19,20220614,✍🏼 Si APRENDES esta TÉCNICA puedes CREAR LOGOS como un PRO ▶ TUTORIAL CorelDRAW
