edad_del_espectador,visualizaciones_(%),duracion_media_de_las_visualizaciones,porcentaje_medio_visto_(%),tiempo_de_visualizacion_(horas)_(%),fecha_publicacion,nombre_video
Entre 35 y 44 años,41.58,0:03:15,25.38,39.09,20211026,🐝 ESTA es la FORMA INTELIGENTE 😱 de usar la GEOMETRÍA para DISEÑAR ▶ CorelDRAW
Entre 45 y 54 años,14.36,0:04:57,38.58,20.52,20211026,🐝 ESTA es la FORMA INTELIGENTE 😱 de usar la GEOMETRÍA para DISEÑAR ▶ CorelDRAW
Entre 25 y 34 años,31.03,0:01:46,18.75,21.23,20210706,🔥 CorelDRAW Best Geometry Tricks Logo TUTORIAL ▶▶ MICROSOFT EDGE 👉🏼
Entre 35 y 44 años,47.41,0:02:42,28.69,49.62,20210706,🔥 CorelDRAW Best Geometry Tricks Logo TUTORIAL ▶▶ MICROSOFT EDGE 👉🏼
Entre 45 y 54 años,21.55,0:03:29,37.09,29.15,20210706,🔥 CorelDRAW Best Geometry Tricks Logo TUTORIAL ▶▶ MICROSOFT EDGE 👉🏼
Entre 25 y 34 años,35.57,0:03:51,25.12,33.93,20220217,😎 DOMINA estas TÉCNICAS de DISEÑO para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 35 y 44 años,37.32,0:04:04,26.52,37.58,20220217,😎 DOMINA estas TÉCNICAS de DISEÑO para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 45 y 54 años,27.11,0:04:14,27.68,28.49,20220217,😎 DOMINA estas TÉCNICAS de DISEÑO para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 25 y 34 años,53.85,0:03:28,14.81,40.76,20220322,✨✔ CONOCE el PASO a PASO para CREAR este LOGO en CorelDRAW ▶ TUTORIAL
Entre 35 y 44 años,46.15,0:05:53,25.1,59.24,20220322,✨✔ CONOCE el PASO a PASO para CREAR este LOGO en CorelDRAW ▶ TUTORIAL
Entre 18 y 24 años,75.0,0:00:21,57.04,76.03,20220225,🏃🏼_♂️🚴🏼_♂️Así CREAS LOGOS en CorelDRAW como un PRO
Entre 25 y 34 años,25.0,0:00:19,53.95,23.97,20220225,🏃🏼_♂️🚴🏼_♂️Así CREAS LOGOS en CorelDRAW como un PRO
Entre 35 y 44 años,100.0,0:01:13,19.54,100.0,20210708,🔥 CorelDRAW BEST Techniques for Beginner & Experts TUTORIAL ▶ S Loop (2021) 👉🏼
Entre 25 y 34 años,72.89,0:02:54,22.84,65.75,20211021,✒️ + 🐧Aprende a COMBINAR CONCEPTOS 😏 para DISEÑAR en CorelDRAW
Entre 35 y 44 años,27.11,0:04:04,32.0,34.25,20211021,✒️ + 🐧Aprende a COMBINAR CONCEPTOS 😏 para DISEÑAR en CorelDRAW
Entre 45 y 54 años,100.0,0:02:59,27.12,100.0,20210729,🔥 CorelDRAW AMAZING Techniques for Beginners & Experts ▶ LOGO TUTORIAL
